PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE,PRICE_CAT,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,LOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
649000,4,3.0,2184.207862,194 Carroll St,"Brooklyn, NY 11231",United States,New York,Kings County,Brooklyn,40.6813429,-73.9981509,2,13.38318953651709,7.6894662343551055,1.7404575465490033,0.001831327535071385,0.0013734956513035386,0.10526565637101318,New York,12.0,229.9220742441574
739000,6,4.0,2184.207862,38 Dare Ct,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.5877991,-73.9216187,3,13.513054553109397,7.6894662343551055,1.7573462372115742,0.0027469913026070773,0.001831327535071385,0.2014962700659736,New York,24.0,440.10973724177484
1495000,4,2.3738608579684373,3000.0,31 4th Ct,"Staten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5247627,-74.1681035,4,14.217637433703022,8.006700845440367,1.775717328292544,0.0013333333333333333,0.0007912869526561458,0.32482171861429204,New York,9.495443431873749,974.4651558428761
3950000,5,2.0,3528.0,591 4th St,"Brooklyn, NY 11215",United States,New York,Kings County,Brooklyn,40.6680619,-73.9748375,5,15.18922639004183,8.16876982367527,1.8594264152258775,0.001417233560090703,0.0005668934240362812,0.11509559443288862,New York,10.0,406.0572571592311
325000,2,1.0,979.0,122 E 102nd St Apt 5B,"New York, NY 10029",New York,New York County,New York,Manhattan,40.7897507,-73.9487257,1,12.691583538230217,6.887552571664617,1.8426840893299858,0.0020429009193054137,0.0010214504596527069,0.023437704046684556,New York County,2.0,22.94551226170418
299999,3,1.0,2184.207862,215 W 75th St Apt 4D,"New York, NY 10023",New York,New York County,New York,Manhattan,40.7810583,-73.9808407,1,12.611537753638338,7.6894662343551055,1.640105745869893,0.0013734956513035386,0.00045783188376784625,0.009854523599855348,New York County,3.0,21.524327923068597
4800000,6,2.3738608579684373,3958.0,1151 83rd St,"Brooklyn, NY 11228",United States,New York,Kings County,Brooklyn,40.6178184,-74.0151165,5,15.38412668421143,8.28374674710613,1.8571459454124148,0.0015159171298635675,0.0005997627230844966,0.17101656724075248,New York,14.243165147810624,676.8835731388983
694000,3,3.0,1360.0,364 Armstrong Ave,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5423126,-74.1555672,2,13.450228680410094,7.215975002651466,1.8639516732621564,0.0022058823529411764,0.0022058823529411764,0.3032652905206866,New York,9.0,412.4407951081338
688888,4,2.0,2846.0,761 S Oak Dr,"Bronx, NY 10467",United States,New York,Bronx County,The Bronx,40.8726182,-73.8651768,2,13.44283543396941,7.954021087278037,1.6900678646012632,0.0014054813773717498,0.0007027406886858749,0.1387603223889278,New York,8.0,394.9118775188885
400000,4,2.0,1980.0,781 Sheperd Ave,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.665357,-73.8770867,1,12.899222326086994,7.591357046698551,1.6991984762061496,0.00202020202020202,0.00101010101010101,0.15073396195246566,New York,8.0,298.453244665882
