PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_CAT
849998,4,2.0,2342.0,New York,Richmond County,40.5487767,-74.1629254,3
465000,2,2.0,708.0,Queens County,Queens,40.7511218,-73.8614488,2
2998000,3,3.0,1763.0,New York,Queens County,40.7465758,-73.9569744,5
2550000,3,2.0,2400.0,Kings County,Brooklyn,40.6763366,-74.0001966,5
1880000,7,2.0,3240.0,New York,Kings County,40.6327207,-74.0236917,5
324888,1,1.0,713.0,Queens County,Queens,40.7337965,-73.8620837,1
799000,4,3.0,1344.0,New York,Kings County,40.6398093,-73.9109383,3
875000,4,3.0,2129.0,New York,Queens County,40.7474641,-73.704456,3
255000,1,1.0,750.0,Kings County,Brooklyn,40.5792324,-73.9713245,1
1850000,12,7.0,4719.0,New York,Kings County,40.6395826,-74.0081915,4
1190000,5,4.0,3720.0,New York,Richmond County,40.5153019,-74.2352069,4
1350000,3,3.0,2184.207862,New York,Kings County,40.690647,-73.9431579,4
600000,3,1.0,2184.207862,Kings County,Brooklyn,40.6786381,-73.910662,2
950000,6,2.3738608579684373,3384.0,Queens County,Queens,40.6499031,-73.7354706,3
464998,2,2.0,1657.0,Kings County,Brooklyn,40.5855624,-73.9669734,2
10750000,10,10.0,6532.0,New York,New York County,40.7385972,-73.9951773,5
4000000,32,12.0,7188.0,New York,New York County,40.7912881,-73.9465215,5
265000,3,1.0,650.0,Kings County,Brooklyn,40.5757325,-73.9679335,1
686000,3,2.0,2184.207862,New York,Queens County,40.6808451,-73.7952952,2
284888,1,1.0,2184.207862,Queens County,Queens,40.748924,-73.8857529,1
1070000,4,2.0,2192.0,New York,Richmond County,40.5991039,-74.067279,4
475000,3,2.0,900.0,New York,Richmond County,40.6158816,-74.0822185,2
4200000,3,3.0,2584.0,New York County,New York,40.7142326,-74.0075258,5
339000,1,1.0,2184.207862,Queens County,Queens,40.7686099,-73.74772,1
299000,1,1.0,608.0,New York,Richmond County,40.5638362,-74.0989788,1
634999,4,2.0,1732.0,New York,Bronx County,40.9028286,-73.8524821,2
1695000,6,4.0,2184.207862,New York,Queens County,40.7811121,-73.9154299,4
3890000,3,4.0,2446.0,New York County,New York,40.7518502,-73.9725168,5
249999,2,1.0,750.0,Kings County,Brooklyn,40.6152328,-73.9176941,1
625000,1,1.0,2184.207862,New York County,New York,40.7362044,-74.0047875,2
250000,1,1.0,800.0,United States,New York,40.9127295,-73.9022248,1
849000,3,3.0,2184.207862,United States,New York,40.5868122,-73.9890289,3
735000,3,2.0,1600.0,New York,Kings County,40.6334425,-73.9402186,3
160000,3,2.3738608579684373,1064.0,New York,Queens County,40.6845061,-73.7950299,1
495000,3,2.0,1280.0,New York,Richmond County,40.6396483,-74.1151985,2
1900000,3,2.3738608579684373,3500.0,New York,Bronx County,40.8462523,-73.8671523,5
989000,5,3.0,2184.207862,New York,Queens County,40.7531679,-73.8836878,3
1300000,10,8.0,5040.0,Richmond County,Staten Island,40.6274381,-74.1581613,4
765000,4,2.0,1152.0,New York,Bronx County,40.8847302,-73.8563591,3
2199999,4,2.0,2848.0,New York,Richmond County,40.5727658,-74.1401218,5
699900,3,2.0,1470.0,New York,Richmond County,40.6153952,-74.1610855,3
1300000,15,6.0,4920.0,New York,Kings County,40.6411388,-73.9478417,4
475000,2,2.0,1364.0,New York,Richmond County,40.5634891,-74.1422664,2
795000,3,2.3738608579684373,2184.207862,New York,Bronx County,40.8457524,-73.9059682,3
549000,3,1.0,2184.207862,New York County,New York,40.7310966,-73.9926682,2
750000,3,2.0,2184.207862,Queens County,Queens,40.7515899,-73.8865299,3
750000,4,2.0,2340.0,New York,Bronx County,40.8959494,-73.85177,3
2980000,6,3.0,3210.0,New York,Kings County,40.6577712,-73.9762759,5
280000,1,1.0,650.0,Kings County,Brooklyn,40.616988,-73.986133,1
439000,2,1.0,900.0,Queens County,Queens,40.7877465,-73.7810708,2
609000,3,2.0,1620.0,New York,Bronx County,40.8165837,-73.8006996,2
2350000,2,2.0,2184.207862,New York County,New York,40.7324629,-73.9972883,5
350000,1,1.0,2184.207862,New York County,New York,40.8099146,-73.9379084,1
12995000,5,4.0,4100.0,New York,New York County,40.7358634,-74.0022086,5
1295000,1,1.0,2184.207862,New York County,New York,40.7722757,-73.979081,4
580000,2,2.0,2184.207862,New York,Queens County,40.7510826,-73.8738365,2
735000,2,2.0,832.0,Kings County,Brooklyn,40.6850765,-73.9107349,3
625000,2,2.0,995.0,Queens County,Queens,40.7780359,-73.7808993,2
1449999,3,2.3738608579684373,1890.0,New York,Kings County,40.6783124,-73.928113,4
44500000,5,6.0,2184.207862,New York County,New York,40.768973,-73.969136,5
1249949,4,4.0,2720.0,New York,Richmond County,40.5107045,-74.2389945,4
699888,3,2.0,1870.0,New York,Richmond County,40.541476,-74.174618,3
1249000,2,2.0,2158.0,Kings County,Brooklyn,40.648091,-73.98013,4
340000,2,1.0,900.0,Bronx County,The Bronx,40.8919476,-73.8973687,1
349000,1,1.0,800.0,New York,Kings County,40.6358249,-73.973308,1
2100000,3,3.0,1638.0,New York County,New York,40.7585686,-73.9669708,5
1000000,8,3.0,2184.207862,New York,Bronx County,40.8781863,-73.8629257,4
1499000,9,6.0,3519.0,New York,Kings County,40.583514,-73.9738903,4
800000,2,2.0,2184.207862,Queens County,Queens,40.7535399,-73.8868899,3
775000,5,2.0,1600.0,New York,Bronx County,40.8166622,-73.8139448,3
5500000,8,6.0,9000.0,New York,Bronx County,40.8985084,-73.902753,5
469900,3,2.0,1200.0,Bronx County,The Bronx,40.8819273,-73.9172822,2
760000,1,1.0,700.0,New York County,New York,40.7636004,-73.9583523,3
345000,3,2.3738608579684373,2184.207862,New York,Queens County,40.701334,-73.772164,1
6300000,2,2.0,2184.207862,New York County,New York,40.7670351,-73.970568,5
1899000,3,2.0,1757.0,Kings County,Brooklyn,40.5769367,-73.9570143,5
598500,3,2.3738608579684373,1500.0,New York,Richmond County,40.5819183,-74.155565,2
1088000,5,2.0,2184.207862,Queens County,Queens,40.7186003,-73.8453488,4
220000,1,1.0,750.0,New York,Queens County,40.7554479,-73.7319604,1
2750000,2,2.0,2184.207862,New York County,New York,40.7687082,-73.9694439,5
2000000,3,2.3738608579684373,2184.207862,New York,Bronx County,40.8492324,-73.8914043,5
199000,1,1.0,550.0,Kings County,Brooklyn,40.614409,-73.9479665,1
339000,1,1.0,693.0,Richmond County,Staten Island,40.5475295,-74.1568654,1
949000,2,1.0,2184.207862,New York County,New York,40.8089034,-73.965519,3
579000,2,2.0,750.0,Queens County,Queens,40.75467,-73.821996,2
689999,3,2.0,1008.0,New York,Richmond County,40.621814,-74.1406264,2
235000,1,1.0,2184.207862,Queens County,Queens,40.7315119,-73.8286528,1
545000,1,1.0,2184.207862,New York County,New York,40.7763285,-73.9475088,2
379000,2,1.0,2184.207862,Queens County,Queens,40.7286188,-73.8616623,1
840000,3,2.0,1675.0,New York,Bronx County,40.8611137,-73.8439969,3
45000000,5,2.3738608579684373,2184.207862,New York County,New York,40.768301,-73.9697336,5
349000,2,1.0,2184.207862,New York,Queens County,40.6797517,-73.8624978,1
1525000,2,2.0,1329.0,Queens County,Queens,40.745483,-73.954465,4
675000,1,1.0,2184.207862,New York County,New York,40.7957847,-73.9498024,2
400000,3,1.0,2184.207862,New York County,New York,40.7257358,-74.0017575,1
989000,7,3.0,2184.207862,New York,Kings County,40.6360957,-73.9018295,3
590000,3,1.0,1360.0,New York,Bronx County,40.8642583,-73.8414813,2
9995000,3,4.0,2950.0,New York County,New York,40.724558,-74.004173,5
1739888,8,3.0,3375.0,New York,Kings County,40.6148276,-73.9896373,4
399000,2,1.0,2184.207862,Queens County,Queens,40.7544847,-73.8740993,1
3500000,10,8.0,6201.0,New York,New York County,40.793104,-73.975651,5
185000,1,1.0,850.0,New York,Bronx County,40.8789917,-73.9020914,1
465000,1,1.0,2184.207862,New York County,New York,40.754143,-73.963502,2
